;neige_au_sol;snow_total ;snow_event 
january;1243;132;6
february;1192;5;1
march;1049;103;9
april;494;65;5
may;0;0;0
june;0;0;0
july;0;0;0
august;0;0;0
september;0;0;0
october;0;0;0
november;396;80;8
december;1799;79;7
